No.,Icon,,Spell,Aspect / Damage,Rank,Description,Notes,Location,Level,Instance
11,,FALSE,Paincracker,Earth,★★,Increases magic damage taken by all nearby enemies by 30%. This action does not share a recast timer with any other actions.,"A variant on a salamander specialty, Peculiar Light disperses radiance naturally emitted during spellcasting into a half-globe, clouding victims' vision. Thus unbeknownst to them, malignant aether lurking within the rapidly reflecting beams renders them more susceptible to further aetherial assaults.","North Shroud (19x,28y) — Clay Golem
Copperbell Mines (Hard) — Gogmagolem","28
50",
12,,FALSE,Bristle,None,★★,Increases the potency of the next spell cast by 50%.,"Instinctive to beastkin, Bristle channels sheer animalistic rage into heightened spiritual and physical power. The blue mage will find that she can adapt this technique to increase her spells' potency.","East Shroud (x18,y24) — Wild Boar",20,
13,,FALSE,White Wind,None,★★★,Restores own HP and the HP of all nearby party members by an amount equal to your current HP.,"White Wind imbues a localized current of air with purified aether, distributing its curative effects throughout the vicinity. Though powerful for such a simple spell, the purification of sufficient aether requires significant magical exertion on the part of the caster, and thus should be used sparingly.","Learn 10 spells and obtain a Whalaqee Totem from Wayward Gaheel Ja, in Ul'dah — Steps of Thal  (x12.5,y12.9).",1,
14,,FALSE,Level 5 Petrify,None,★★,Petrifies all enemies in a cone before you. Chance of successful attack is low. Enemy level must be a multiple of 5. Has no effect on enemies whose level is higher than your own.,"This curse, commonly used by ahrimans and similar voidsent, takes advantage of the hubris that living creatures tend to fall prey to upon reaching certain milestones in development, targeting mental weaknesses to give foes a paralyzing reminder of their own fallibility.","Haukke Manor — Manor Sentry
Haukke Manor (Hard) — Manor Sentry","28
50",
15,,FALSE,Sharpened Knife,Slashing,★★★★,Deals unaspected damage with a potency of 120.,"At this point, tonberries' predilection for sharpened knives is well known. By manipulating aether to harness feelings of resentment, one hones a keener blade for driving into the heart of the enemy. Naturally, being beset by this attack while unable to move is a uniquely harrowing experience.",The Wanderer's Palace — Tonberry King,50,
16,,FALSE,Ice Spikes,Fire,★,Counters enemies with ice damage every time you suffer physical damage.,"Favored by certain types of voidsent, this spell─technically a curse, cast upon oneself─converts the malice of attackers into aetherial spikes of ice, impaling them each time they strike. The more furious their flurries, the more pain they cause themselves─poetic justice, one might say.","Central Shroud (x27,y24) — Trickster Imp",9,
17,,FALSE,Blood Drain,None,★,Deals unaspected damage with a potency of 20.,"Through the draining of blood, this spell saps a foe's aether, a portion of which is then absorbed by the caster. In nature, such habits first appeared in creatures such as bats and chigoes, who naturalists theorize developed the ability to absorb nutrients via blood over the course of centuries.","Lower La Noscea (x27,y16) — Cave Bat",7,
18,,FALSE,Acorn Bomb,Fire,★,Puts target and all nearby enemies to sleep. Cancels auto-attack upon execution.,"This technique pelts foes with seedlike aetherial orbs, which then explode to release the soporific within. Scholars believe that similar defense mechanisms were originally developed by treants and other species vulnerable to vilekin in order to prevent their boring of holes and leeching of sap.","North Shroud (x27,y28) — Treant Sapling",12,
19,,FALSE,Bomb Toss,None,★★,Deals fire damage with a potency of 110 to all enemies at a designated location.,"This spell creates an aetherial replica of the sort of bomb preferred by goblins. Of course, goblin bombs acquire their combustive force through the use of magically enhanced gunpowder, so mimicking this effect with aether alone requires no small amount of effort, but the results are... explosive.","Middle La Noscea (x23,y21) — Goblin Fisher
Middle La Noscea (x23,y21) — Goblin Gambler",5,
20,,FALSE,Off-guard,None,★★,Increases damage you deal target by 50%. Recast timer is reset if target is KO'd in battle before the effect expires. This action does not share a recast timer with any other actions.,"A primitive type of curse cast by giants in the New World, this spell sunders opponents' defenses by breaking their spirits. Pairing it with strong offensive magic allows the blue mage to weaken and strike down foe after foe without cease.","Learn 5 spells and obtain a Whalaqee Totem from Wayward Gaheel Ja, in Ul'dah — Steps of Thal  (x12.5,y12.9).",1,
21,,FALSE,Self-destruct,Piercing,★,Deals fire damage with a potency of 900 to all nearby enemies while incapacitating self.,"Credited as the source of the “bomb” voidsent family's name, Self-destruct, when used by blue mages, converts the entirety of its caster's energy into fire-aspected aether to cause an explosion. The application of oil has been observed to make it more effective─though likely also more painful.","Western Thanalan (x27,y16) — Glide Bomb",12,
22,,FALSE,Transfusion,None,★★,Restores all HP and MP of a single party member while incapacitating self.,"At times used by self-sacrificing spirits of the dead roaming the New World, this technique consumes the entirety of the one's being to fully restore both the body and mind of another. Though the sacrifice required is great, the use of this spell is a deed not soon forgotten.","Learn 20 spells and obtain a Whalaqee Totem from Wayward Gaheel Ja, in Ul'dah — Steps of Thal  (x12.5,y12.9).",1,
23,,FALSE,Faze,None,★★★,Stuns all enemies in a cone before you.,"Originally developed as a means of defense from flesh-eating beasts, this favorite of the Qiqirn tribes produces a shockwave as its user strikes together palms filled with concentrated aether, leaving foes witless.","Central Thanalan (x16,y19) — Qiqirn Shellsweeper
Eastern La Noscea (x26,y32) — Qiqirn Gullroaster",6,
24,,FALSE,Flying Sardine,Piercing,★,Deals unaspected damage with a potency of 10.,"The apkallu, in the wild, violently regurgitates its latest pescatarian meal at predators as a defense mechanism. In blue magic trials, Flying Sardine has proven to be an equally effective deterrent even when the sardine in question is not entirely physical, reliably shocking adversaries into silence.","Eastern La Noscea (x27,y35) — Apkallu",30,
25,,FALSE,Snort,Wind,★★★★,Deals a 20-yalm knockback to all enemies in a cone before you.,"Typhon's signature technique produces gale-force winds by propelling concentrated air through the nostrils─though mages recreate the gust externally, for the sake of nasal integrity. In addition to buffeting foes backward, it appears to have a detrimental effect on its target's mental state.",The Dragon's Neck — Typhon,50,
26,,FALSE,4-tonze Weight,Blunt,★★★★,"Drops a 4-tonze weight dealing unaspected damage with a potency of 110 to all enemies at a designated location.
Enemies within an 8-yalm radius will be unaffected.","Employed to great effect by Ultros, this technique crushes adversaries beneath a phantom weight. Due to reticence in the scholastic community regarding certain forms of testing, whether the weight applied feels like that of four full tonzes is a question that remains unanswered.",The Dragon's Neck — Ultros,50,
27,,FALSE,The Look,None,★★,Deals unaspected damage with a potency of 130 to all enemies in a cone before you.,"Common amongst dahaks, this technique requires using the position of one's own eyes to anchor arcane geometries in which to concentrate aether. The user then expels the aether, propelled by ill will, in the direction of his gaze─though this tends to earn him a fair bit of ire in return.",Amdapor Keep — Anantaboga ,50,
28,,FALSE,Bad Breath,None,★★★,"Blow noxious breath on all enemies in a cone before you, inflicting Slow +20%, Heavy +40%, Blind, and Paralysis.","This spell manipulates wind- and earth-aspected aether to call forth the umbral, imbuing exhaled air with miasma. Attempts to replicate the morbol's Bad Breath sans its inherent horrific stench have been unsuccessful, thus it retains its title as the foulest of blue magicks.","Central Shroud (x18,y21) — Stroper
Central Shroud (x15,y21) — Heliostroper",31,
29,,FALSE,Diamondback,None,★★★★,"Reduces damage taken by 90% and nullifies most knockback and draw-in effects. Unable to move or take action for the duration of this effect. If used when Waxing Nocturne is active, its effect will transition immediately to Waning Nocturne. The effect of this action cannot be ended manually.","Diamondback weaves earth-aspected aether into a hard mineral shield, mimicking what many describe as the “maddening” effect of shelled dragons' carapaces. Alas, though its defensive properties are superlative, its weight makes it impossible for the caster to move while under its aegis.",The Stone Vigil (Hard) — Cuca Fera,50,
30,,FALSE,Mighty Guard,None,★★★★,Reduces damage taken by 40% while reducing damage dealt by 70% and increasing enmity generation. Effect ends upon reuse.,"Protected by only a dainty layer of scales, some Indigo Deep-dwellers' survival has come to depend on aetherial manipulation─this technique included. By reducing the amount of aether used for offense, more becomes available for the creation of a strong─if flashy─barrier.","Learn 10 spells and obtain a Whalaqee Totem from Wayward Gaheel Ja, in Ul'dah — Steps of Thal  (x12.5,y12.9).",1,
31,,FALSE,Sticky Tongue,Blunt,★★★★,Draws target towards caster.,"In nature, Sticky Tongue is employed by gigantoads, who extend said lengthy and unusually adhesive appendages to capture distant prey. The blue magic rendition utilizes a far more sanitary aetherial “tongue,” but the principle is the same.","Central Thanalan (x27,y19) — Toxic Toad
Western Thanalan (x15,y7) — Laughing Gigantoad",14,
32,,FALSE,Toad Oil,None,★★★,Increases evasion by 20%.,"This technique covers the blue mage's body in oil, much like a gigantoad's slime would its own, allowing the caster to slip and slide away from foes' attacks. Though most consider it uncouth at best, make no mistake─its devotees are few, but ardent.","Western Thanalan (x15,y7) — Giggling Gigantoad",24,
33,,FALSE,The Ram's Voice,Ice,★★,Deals ice damage with a potency of 130 to all nearby enemies.,"Scholars theorize that this particular spell was born of the variety of aetherial manipulation often performed by northern rams to survive the harsh climes of high elevations─but when ram became chimerical head, it began to favor offense over defense.",Cutter's Cry — Chimera,38,
34,,FALSE,The Dragon's Voice,Lightning,★★,"Deals lightning damage with a potency of 110 to nearby enemies.
Enemies within an 8-yalm radius will be unaffected.","The blue mage's ability to precisely direct volatile levin to form the smooth ring produced by this spell is owed to the chimera from which the technique was learned─and whose control of lightning aether was, in turn, owed to its draconic head.",Cutter's Cry — Chimera,38,
35,,FALSE,Missile,None,★★★★,Deals damage equal to half target's current HP. Chance of successful attack is low. Has no effect on enemies whose level is higher than your own.,"A magical imitation of warmachina technology, this technique allows the user to fire a barrage of aetherial missiles. When efficacious─which, bear in mind, is not guaranteed─it sends a shock through the foe that appears to resonate more the greater their vitality.",Battle in the Big Keep — Enkidu,50,
36,,FALSE,1000 Needles,Piercing,★★★★,"Deals a fixed 1,000 damage which is shared by all enemies around you.","Highly famed ─and feared─ due to its frequent use by cactuars, 1000 Needles showers one's surroundings with a hail of slim projectiles. Despite their magical nature, the velocity at which the blue mage's pseudo-spines are propelled ensures that they are quite as painful as the real thing.","Southern Thanalan (x16,y15) — Sabotender Bailaor
Cutter's Cry — Sabotender Dessertor",24,
37,,FALSE,Ink Jet,None,★★★,Deals unaspected damage with a potency of 120 to all enemies in a cone before you.,"Ink Jet can be considered a more advanced form of Water Cannon─fitting, as both come courtesy of the kraken. The spell infuses aetherially concentrated water with whatever impure substances are most readily available to create and expel a synthetic “ink,” blinding opponents.",Sastasha (Hard) — Kraken,50,
38,,FALSE,Fire Angon,Fire,★★★,Deals fire damage with a potency of 100 to target and all enemies nearby it.,"In imitation of a martial technique passed down for generations by Mamool Ja tribes in the New World, this spell imbues a long-headed spear called an “angon”─or rather, an aetherial replica of the same─with fire-aspected aether and propels it across the field at enemy combatants.",The Wanderer's Palace (Hard) — Frumious Koheel Ja,50,
39,,FALSE,Moon Flute,None,★,"Grants the effect of Waxing Nocturne, increasing damage dealt by 50% and movement speed by 30%.","This technique imitates a peculiar flute wrested from the grasp of a vanquished voidsent. Said creature was initially welcomed as a god by those New World peoples who worship the moon, but it soon became clear to them that the flute was the true source of its power and cruel authority.","Clear 10 Stages in The Masked Carnivale and obtain a Whalaqee Totem from Wayward Gaheel Ja, in Ul'dah — Steps of Thal  (x12.5,y12.9).",1,
40,,FALSE,Tail Screw,None,★★★★,Reduces target's HP to 1. Chance of successful attack is low. Has no effect on enemies whose level is higher than your own.,"Karlabos performs Tail Screw by collecting turbulent aether in the tip of its tail, then unleashing it at once as a violent whorl that rips foes' lives from their bodies. This is notoriously difficult to imitate, due to the challenges inherent in attempting to control such a volatile aetherial vortex.",Sastasha (Hard) — Karlabos,50,
41,,FALSE,Mind Blast,None,★,Deals unaspected damage with a potency of 100 to all nearby enemies.,"Primarily used by soulflayers, though reportedly also found in Blaster's arsenal, Mind Blast assaults nearby foes' perceptions, tormenting them with the sensation of manifold cuts. Senses overwhelmed, victims' bodies react as if perception were reality, leaving them wounded and paralyzed.",The Tam-Tara Deepcroft — Galvanth the Dominator,16,
42,,FALSE,Doom,None,★★★★,"Inflicts Doom on target. When effect expires, the target will be KO'd. Chance of successful attack is low. Has no effect on enemies whose level is higher than your own.","Oft cast by voidsent in the New World, this mortal curse merely hints that one's time may be nigh. For particularly suggestible opponents, however, this is enough─the looming spectre of death will send them leaping to their graves.","Clear 20 Stages in The Masked Carnivale and obtain a Whalaqee Totem from Wayward Gaheel Ja, in Ul'dah — Steps of Thal  (x12.5,y12.9).",1,
43,,FALSE,Peculiar Light,None,★★,Deals earth damage with a potency of 130 to all nearby enemies.,"Just like that all-too-well-known fixture in the arsenals of many earthy soulkin, this technique creates a localized quake around the caster. According to legend, the earth itself will appear to shatter under a true master of the spell.","Mor Dhona (x13,y10) — Lentic Mudpuppy",45,
44,,FALSE,Feather Rain,Wind,★★★★★,Deals wind damage with a potency of 180 to all enemies at a designated location. Shares a recast timer with Eruption.,"Feather Rain, as swift and brutal as most of Garuda's skills, puts the force of a gale behind a storm of sharp plumes, afflicting foes with innumerable cuts and lashes that cause lingering agony.","The Howling Eye (Hard) — Garuda
The Howling Eye (Extreme) — Garuda",50,
45,,FALSE,Eruption,Fire,★★★★★,Deals fire damage with a potency of 220 to all enemies at a designated location. Shares a recast timer with Feather Rain.,"Necessitating the skill to manipulate currents beneath the earth as Ifrit does, Eruption drives the fire within the land above ground in a burst of explosive flame, creating an effect similar to that of a volcano.","The Bowl of Embers (Hard) — Ifrit
The Bowl of Embers (Extreme) — Ifrit",50,
46,,FALSE,Mountain Buster,Blunt/Earth,★★★★★,"Deals earth damage to all enemies in a cone before you with a potency of 310 for the first enemy, 30% less for the second, 60% less for the third, and 70% less for all remaining enemies. Shares a recast timer with Shock Strike.","In a devastating recreation of one of Titan's most fearsome techniques, Mountain Buster strikes opponents with an upheaval of earth-aspected aether, as if the land itself were ripping free of its confines to pulverize its defilers─or any unfortunate bystanders, as it were.","The Navel (Hard) — Titan
The Navel (Extreme) — Titan",50,
47,,FALSE,Shock Strike,Lightning,★★★★★,"Deals lightning damage to target and all enemies nearby it with a potency of 310 for the first enemy, 30% less for the second, 60% less for the third, and 70% less for all remaining enemies. Shares a recast timer with Mountain Buster.","Shock Strike, never so imposing as when cast by Ramuh, calls down a bolt from the heavens. Though measurements are difficult to come by, its power is thought to far exceed that of levinbolts found in nature─indeed, it more closely resembles a warhammer crashing to the earth.","The Striking Tree (Hard) — Ramuh
The Striking Tree (Extreme) — Ramuh",50,
48,,FALSE,Glass Dance,Ice,★★★★★,"Deals ice damage to all enemies in a wide arc to your fore and flanks with a potency of 290 for the first enemy, 15% less for the second, and 30% less for all remaining enemies. Shares a recast timer with Veil of the Whorl.","To fully replicate this technique, beloved of Shiva, the blue mage calls forth a bow of aether from which she fires a hail of razor-sharp icicles. Those who knew the lady Ysayle believe that Glass Dance may have taken form from her memories of observing hunters in Tailfeather.","Akh Afah Amphitheatre (Hard) — Shiva
Akh Afah Amphitheatre (Extreme) — Shiva",50,
49,,FALSE,Veil of the Whorl,Water,★★★★★,"Counters enemies with water damage every time you suffer damage.
Shares a recast timer with Glass Dance.","This fearsome magic, inspired by Leviathan, creates an aqueous film of water collected from the atmosphere. Though a veil in the sense of offering protection from outside forces, it also functions as a mirror, reflecting foes' aether back upon them.","The Whorleater (Hard) — Leviathan
The Whorleater (Extreme) — Leviathan",50,
